FLIGHT NUMBER,DEP,ARR,DATE,TIME,WEEKDAY,PAX TRUE,PAX FALSE,PAX TOTAL
HT0928,TFN,LPA,2025-01-01,05:20,2,70,1,71
HT0922,LPA,TFN,2025-01-01,06:00,2,42,8,50
HT1650,FCO,CAG,2025-01-01,06:15,2,71,63,134
HT7614,CAG,FCO,2025-01-01,07:30,2,118,16,134
HT7132,MXP,SSH,2025-01-01,07:30,2,436,14,450
HT0928,TFN,LPA,2025-01-01,12:00,2,33,24,57
HT1650,FCO,CAG,2025-01-01,12:30,2,67,58,125
HT0922,LPA,TFN,2025-01-01,12:40,2,32,26,58
HT7614,CAG,FCO,2025-01-01,13:45,2,69,58,127
HT1650,FCO,CAG,2025-01-01,16:45,2,73,5,78
HT7614,CAG,FCO,2025-01-01,18:00,2,126,9,135
HT0928,TFN,LPA,2025-01-01,19:55,2,34,21,55
HT9943,SSH,MXP,2025-01-01,20:20,2,413,37,450
HT0922,LPA,TFN,2025-01-01,20:35,2,28,38,66
HT9072,PMI,RIX,2025-01-02,03:15,3,206,24,230
HT0928,TFN,LPA,2025-01-02,05:20,3,48,20,68
HT0922,LPA,TFN,2025-01-02,06:00,3,59,2,61
HT7636,OPO,FNC,2025-01-02,06:00,3,128,6,134
HT1234,LHR,DUB,2025-01-02,07:10,3,137,30,167
HT8601,DUB,LHR,2025-01-02,09:30,3,132,15,147
HT6578,PRG,MXP,2025-01-02,10:35,3,198,17,215
HT0928,TFN,LPA,2025-01-02,12:00,3,31,29,60
HT3245,MXP,PRG,2025-01-02,12:00,3,172,24,196
HT1234,LHR,DUB,2025-01-02,12:10,3,85,56,141
HT0922,LPA,TFN,2025-01-02,12:40,3,38,28,66
HT8069,MDA,CDG,2025-01-02,14:00,3,255,9,264
HT8601,DUB,LHR,2025-01-02,14:30,3,91,65,156
HT4125,CDG,MAD,2025-01-02,16:05,3,237,31,268
HT1234,LHR,DUB,2025-01-02,17:10,3,96,52,148
HT6578,PRG,MXP,2025-01-02,17:45,3,117,0,117
HT8069,MDA,CDG,2025-01-02,18:10,3,138,86,224
HT1839,RIX,PMI,2025-01-02,18:45,3,223,7,230
HT4447,FNC,OPO,2025-01-02,19:00,3,133,18,151
HT8601,DUB,LHR,2025-01-02,19:30,3,168,2,170
HT0928,TFN,LPA,2025-01-02,19:55,3,27,22,49
HT3245,MXP,PRG,2025-01-02,19:55,3,192,14,206
HT4125,CDG,MAD,2025-01-02,20:15,3,138,48,186
HT0922,LPA,TFN,2025-01-02,20:35,3,38,30,68
HT4505,BUD,KEF,2025-01-03,04:00,4,169,6,175
HT4858,LPL,LCA,2025-01-03,04:30,4,368,14,382
HT0928,TFN,LPA,2025-01-03,05:20,4,52,18,70
HT0922,LPA,TFN,2025-01-03,06:00,4,29,27,56
HT1650,FCO,CAG,2025-01-03,06:15,4,85,6,91
HT1234,LHR,DUB,2025-01-03,07:10,4,93,34,127
HT7614,CAG,FCO,2025-01-03,07:30,4,79,47,126
HT2087,MLA,FCO,2025-01-03,08:20,4,83,16,99
HT8601,DUB,LHR,2025-01-03,09:30,4,131,43,174
HT1517,FCO,MLA,2025-01-03,11:00,4,114,8,122
HT0928,TFN,LPA,2025-01-03,12:00,4,33,37,70
HT1234,LHR,DUB,2025-01-03,12:10,4,75,98,173
HT1650,FCO,CAG,2025-01-03,12:30,4,61,56,117
HT3677,TFN,BCN,2025-01-03,12:30,4,150,24,174
HT0922,LPA,TFN,2025-01-03,12:40,4,27,35,62
HT7614,CAG,FCO,2025-01-03,13:45,4,47,88,135
HT8069,MDA,CDG,2025-01-03,14:00,4,233,21,254
HT8601,DUB,LHR,2025-01-03,14:30,4,86,82,168
HT5089,LCA,LPL,2025-01-03,15:05,4,190,45,235
HT2087,MLA,FCO,2025-01-03,15:35,4,78,28,106
HT4125,CDG,MAD,2025-01-03,16:05,4,241,24,265
HT1650,FCO,CAG,2025-01-03,16:45,4,119,5,124
HT1234,LHR,DUB,2025-01-03,17:10,4,125,3,128
HT5996,KEF,BUD,2025-01-03,17:50,4,166,9,175
HT1517,FCO,MLA,2025-01-03,17:55,4,91,27,118
HT7614,CAG,FCO,2025-01-03,18:00,4,83,7,90
HT8069,MDA,CDG,2025-01-03,18:10,4,231,4,235
HT1028,LHR,TLS,2025-01-03,18:10,4,199,5,204
HT3704,TLS,LHR,2025-01-03,19:25,4,194,1,195
HT8601,DUB,LHR,2025-01-03,19:30,4,90,59,149
HT0928,TFN,LPA,2025-01-03,19:55,4,28,25,53
HT4125,CDG,MAD,2025-01-03,20:15,4,116,155,271
HT0922,LPA,TFN,2025-01-03,20:35,4,29,41,70
HT1028,LHR,TLS,2025-01-03,21:25,4,136,20,156
HT1385,BCN,TFN,2025-01-03,23:15,4,115,13,128
HT3704,TLS,LHR,2025-01-03,23:30,4,122,18,140
HT0928,TFN,LPA,2025-01-04,05:20,5,53,9,62
HT0922,LPA,TFN,2025-01-04,06:00,5,57,1,58
HT1650,FCO,CAG,2025-01-04,06:15,5,92,24,116
HT1234,LHR,DUB,2025-01-04,07:10,5,84,9,93
HT7614,CAG,FCO,2025-01-04,07:30,5,109,5,114
HT7132,MXP,SSH,2025-01-04,07:30,5,431,19,450
HT2087,MLA,FCO,2025-01-04,08:20,5,98,13,111
HT8601,DUB,LHR,2025-01-04,09:30,5,134,9,143
HT1517,FCO,MLA,2025-01-04,11:00,5,124,19,143
HT0928,TFN,LPA,2025-01-04,12:00,5,38,22,60
HT1234,LHR,DUB,2025-01-04,12:10,5,79,92,171
HT1650,FCO,CAG,2025-01-04,12:30,5,48,59,107
HT3677,TFN,BCN,2025-01-04,12:30,5,101,22,123
HT0922,LPA,TFN,2025-01-04,12:40,5,30,38,68
HT4540,DUS,RHO,2025-01-04,12:55,5,149,8,157
HT7614,CAG,FCO,2025-01-04,13:45,5,72,63,135
HT8601,DUB,LHR,2025-01-04,14:30,5,83,61,144
HT2087,MLA,FCO,2025-01-04,15:35,5,133,2,135
HT1650,FCO,CAG,2025-01-04,16:45,5,69,9,78
HT1234,LHR,DUB,2025-01-04,17:10,5,156,11,167
HT1517,FCO,MLA,2025-01-04,17:55,5,105,28,133
HT7614,CAG,FCO,2025-01-04,18:00,5,119,4,123
HT1028,LHR,TLS,2025-01-04,18:10,5,154,50,204
HT3704,TLS,LHR,2025-01-04,19:25,5,98,99,197
HT8601,DUB,LHR,2025-01-04,19:30,5,77,42,119
HT0928,TFN,LPA,2025-01-04,19:55,5,37,26,63
HT9943,SSH,MXP,2025-01-04,20:20,5,421,29,450
HT0922,LPA,TFN,2025-01-04,20:35,5,33,25,58
HT1255,RHO,DUS,2025-01-04,20:40,5,196,21,217
HT1028,LHR,TLS,2025-01-04,21:25,5,86,31,117
HT1385,BCN,TFN,2025-01-04,23:15,5,107,14,121
